datasetID,handle,site,long,lat,state,pi,pre,settlement,notes
352,CEDARBLK,Cedar Bog Lake,-93.197222,45.411111,minnesota,"Cushing, Edward J.",3,,
369,CHIPPEWA,Chippewa Bog,-83.241111,43.123889,michigan:south,"Bailey, Robert E.",12,,
12010,CHUBLAKE,Chub Lake,-93.2224,44.5748,minnesota,"Cushing, Edward J.",5,,
382,CINDY,Cindy Pond,-94.916667,47.183333,minnesota,"McAndrews, John H.",3,,
12005,COTTONW2,Cottonwood Lake,-95.6919,44.6243,minnesota,"Cushing, Edward J.",6,,
515,COTWDMN,Cottonwood Lake (US:Minnesota),-96.016667,45.761111,minnesota,"McAndrews, John H.",5,,
521,CRAZY,Crazy Pond,-95.733333,47.183333,minnesota,"McAndrews, John H.",5,,
532,CUB2,Cub Lake,-84.958333,44.7,michigan:south,"Rasmussen, Jack B.",10,,
545,DALTON,Dalton Lake,-95.915278,46.173889,minnesota,"McAndrews, John H.",5,,
546,DARKLAKE,Dark Lake,-91.475,45.275,wisconsin,"Winkler, Marjorie Green",15,,
12007,DEANS,Deans Lake,-93.4546,44.7783,minnesota,"Shane, Linda C. K.",4,,
679,DEMONTLK,Demont Lake,-85,43.48,michigan:south,"Kapp, Ronald O.",4,,
681,DENTONLK,Denton Lake,-89.316667,45.85,wisconsin,"Shane, Linda C. K.",13,,No real obvious sign of Settlement
684,DEVILSWI,Devils Lake (US:Wisconsin),-89.7385,43.4273,wisconsin,"Maher, Louis J., Jr.",6,,
700,DISTER59,Disterhaft Farm Bog,-89.166944,43.916944,wisconsin,"Maher, Louis J., Jr.",,,None
3081,DISTRHFT,Disterhaft Farm Bog,-89.166944,43.916944,wisconsin,"Baker, Richard G.",,,None
717,DOGFISH,Dogfish Lake,-92.183333,48.183333,minnesota,"Waddington, Jean C.B.",11,,Hard to tell
774,DUNNIGAN,Dunnigan Lake,-91.641667,47.708333,minnesota,"Shane, Linda C. K.",13,,
781,EASTTWIN,East Twin Lake (US:Minnesota),-93.508333,45.333333,minnesota,"McAndrews, John H.",4,,
786,EGGERT,Eggert Lake,-93.619722,44.470556,minnesota,"McAndrews, John H.",5,,
CLH1,ELEVENSES,Elevenses,-91.496,46.382,wisconsin,R. Calcote,6,,
12008,EMILY,Lake Emily,-93.9262,44.3135,minnesota,"Shane, Linda C. K.",7,,
CLH9,ESKA,Eska,-90.60789,45.1915,wisconsin,R. Calcote,4,,
12024,EVRHRTLK,Everhart Lake,-93.4424,43.6198,minnesota,"Cushing, Edward J.",6,,
817,FAITH,Faith Pond,-95.1,47.283333,minnesota,"McAndrews, John H.",4,,
CLH7,FALLISON,Fallison,-89.61883,45.9939,wisconsin,R. Calcote,8,,
822,FARQUAR,Farquar Lake,-93.166667,44.757778,minnesota,"McAndrews, John H.",6,,
10974,FAWNANMN,Fawn Lake,-93.057,45.4099,minnesota,"Cushing, Edward J.",4,,
824,FAWNLAKE,Fawn Lake,-94.753333,46.218889,minnesota,"McAndrews, John H.",6,,
CLH2,FERR01X,Ferr01X,-92.125,46.013,wisconsin,R. Calcote,,,nothing
846,FOXPOND,Fox Pond,-95.558333,47.165,minnesota,"McAndrews, John H.",6,,tough to say
847,FRAINSLK,Frains Lake,-83.63,42.33,michigan:south,"Kerfoot, Wilson Charles",7,,
850,FRENCH,French Lake,-94.416667,44.95,minnesota,"Grimm, Eric Christopher",7,,
10975,FROVOLD,Frovold Lake,-95.568,45.38,minnesota,"Cushing, Edward J.",5,,
860,GASS,Gass Lake,-87.733333,44.05,wisconsin,"Webb, Sara L.",5,,
869,GEORGE,George Lake,-93.870833,44.233333,minnesota,"McAndrews, John H.",5,,
967,GOLDSMTH,Goldsmith Lake,-92.466667,46.583333,minnesota,"McAndrews, John H.",3,,
10976,GOOSEMN,Goose Lake,-94.596,44.995,minnesota,"Cushing, Edward J.",6,,tough
982,GREENLK,Green Lake,-85.116667,44.883333,michigan:south,"Lawrenz, Ronald W.",,,tough
990,GRICE,Grice Pond,-95.75,47.2,minnesota,"McAndrews, John H.",3,,
1004,HANSON,Hanson Marsh,-89.675,43.433056,wisconsin,"Maher, Louis J., Jr.",,,none
CLH3,HELLHOLE,HellHole,-92.219,45.7865,wisconsin,R. Calcote,5,,
3131,HELLSKIT,Hell's Kitchen Lake,-89.7,46.183333,wisconsin,"Swain, Albert M.",10,,or 9
1032,HEMOPOND,Hemo Pond,-95.783333,47.216667,minnesota,"McAndrews, John H.",,,none
1109,HORSE,Horse Pond,-95.872222,47.190278,minnesota,"McAndrews, John H.",,,none
1111,HOSTAGE,Hostage Lake,-94.133333,46.55,minnesota,"Almendinger, John C.",3,,
1134,HUGLAKE,Hug Lake,-90.933333,47.958333,minnesota,"Swain, Albert M.",12,,tough
1138,HUSTLER,Hustler Lake,-92.158333,48.233333,minnesota,"Shane, Linda C. K.",10,,
1151,IOLABOG,Iola Bog,-89.116944,44.5,wisconsin,"Maher, Louis J., Jr.",2,,
1153,IRVIN,Irvin Lake,-93.643611,47.135556,minnesota,"Cushing, Edward J.",6,,
13047,IRWINSMT,Irwin Smith Bog,-83.64,45.035,michigan:south,"Jackson, Steven T.",5,,
3138,JACOBSN2,Jacobson Lake,-92.716944,46.416944,minnesota,"Watts, William A.",4,,
1394,JONESMN,Jones Lake (US:Minnesota),-93.983333,45.429167,minnesota,"McAndrews, John H.",3,,
1446,KEGAN,Kegan Lake,-93.116667,44.758333,minnesota,"McAndrews, John H.",4,,
1447,KELLHOL1,Kellys Hollow,-90.35,45.3,wisconsin,"Heide, Kathleen M.",3,,not good
3452,KELLHOL2,Kellys Hollow,-90.35,45.3,wisconsin,"Heide, Kathleen M.",2,,not good
1448,KELLNERS,Kellners Lake,-87.848056,44.238056,wisconsin,"Maher, Louis J., Jr.",5,,
13032,KIMBLE,Kimble Pond,-93.842,44.2201,minnesota,"Umbanhowar, Charles E., Jr.",13,,
1520,KIRCHNR1,Kirchner Marsh,-93.1249,44.7724,minnesota,"Wright, Herbert E., Jr.",,,nothing
3455,KIRCHNR2,Kirchner Marsh,-93.1249,44.7724,minnesota,"Wright, Herbert E., Jr.",4,,but 5 looks wonky
1524,KITCHNER,Kitchner Lake,-87.455,45.666667,michigan:north,"Davis, Margaret B.",8,,
1548,KOTIRANT,Kotiranta Lake,-92.62,46.72,minnesota,"Wright, Herbert E., Jr.",4,,
1552,KRYZ,Kryzewinski Lake,-92.870278,46.353333,minnesota,"McAndrews, John H.",4,,
